data_data;ano;mes
01/01/2020;2020;Janeiro
01/01/2020;2020;Janeiro
01/01/2020;2020;Janeiro
02/01/2020;2020;Janeiro
02/01/2020;2020;Janeiro
02/01/2020;2020;Janeiro
02/01/2020;2020;Janeiro
02/01/2020;2020;Janeiro
03/01/2020;2020;Janeiro
03/01/2020;2020;Janeiro
05/01/2020;2020;Janeiro
05/01/2020;2020;Janeiro
05/01/2020;2020;Janeiro
05/01/2020;2020;Janeiro
05/01/2020;2020;Janeiro
05/01/2020;2020;Janeiro
05/01/2020;2020;Janeiro
05/01/2020;2020;Janeiro
06/01/2020;2020;Janeiro
06/01/2020;2020;Janeiro
06/01/2020;2020;Janeiro
06/01/2020;2020;Janeiro
06/01/2020;2020;Janeiro
07/01/2020;2020;Janeiro
07/01/2020;2020;Janeiro
07/01/2020;2020;Janeiro
07/01/2020;2020;Janeiro
07/01/2020;2020;Janeiro
07/01/2020;2020;Janeiro
07/01/2020;2020;Janeiro
07/01/2020;2020;Janeiro
07/01/2020;2020;Janeiro
07/01/2020;2020;Janeiro
07/01/2020;2020;Janeiro
07/01/2020;2020;Janeiro
07/01/2020;2020;Janeiro
07/01/2020;2020;Janeiro
08/01/2020;2020;Janeiro
08/01/2020;2020;Janeiro
08/01/2020;2020;Janeiro
08/01/2020;2020;Janeiro
08/01/2020;2020;Janeiro
08/01/2020;2020;Janeiro
08/01/2020;2020;Janeiro
08/01/2020;2020;Janeiro
08/01/2020;2020;Janeiro
08/01/2020;2020;Janeiro
08/01/2020;2020;Janeiro
08/01/2020;2020;Janeiro
08/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
09/01/2020;2020;Janeiro
10/01/2020;2020;Janeiro
10/01/2020;2020;Janeiro
10/01/2020;2020;Janeiro
10/01/2020;2020;Janeiro
10/01/2020;2020;Janeiro
10/01/2020;2020;Janeiro
10/01/2020;2020;Janeiro
10/01/2020;2020;Janeiro
10/01/2020;2020;Janeiro
11/01/2020;2020;Janeiro
11/01/2020;2020;Janeiro
11/01/2020;2020;Janeiro
11/01/2020;2020;Janeiro
11/01/2020;2020;Janeiro
11/01/2020;2020;Janeiro
11/01/2020;2020;Janeiro
11/01/2020;2020;Janeiro
11/01/2020;2020;Janeiro
11/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
12/01/2020;2020;Janeiro
13/01/2020;2020;Janeiro
13/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
14/01/2020;2020;Janeiro
