id_cliente;cliente;tipo_cliente
7354211464;Marcelo;b2c
7354211464;Marcelo;b2c
7354211464;Marcelo;b2c
7354211464;Marcelo;b2c
7352473827;Jackson;b2c
7359171965;Washington;b2c
7359171965;Washington;b2c
7359171965;Washington;b2c
7359171965;Washington;b2c
7359171989;Daniela;b2c
7359206552;Daniela;b2c
7359142617;Alexandre;b2c
6898480069;Jean;b2c
7364076645;Guilherme;b2c
7368452352;Gabriel;b2c
7368452352;Gabriel;b2c
7368452352;Gabriel;b2c
7368452352;Gabriel;b2c
7368977208;Bruno;b2c
7368977208;Bruno;b2c
7368977208;Bruno;b2c
7370350706;Adriana;b2c
7059209656;Aline;b2c
6829481518;Lucas;b2c
6829481518;Lucas;b2c
6829481518;Lucas;b2c
6829481518;Lucas;b2c
6829481518;Lucas;b2c
6829481518;Lucas;b2c
6829481518;Lucas;b2c
6829481518;Lucas;b2c
6829481518;Lucas;b2c
7380606858;Douglas;b2c
7389080393;Camila;b2c
7389080393;Camila;b2c
7389080393;Camila;b2c
7396701114;Matheus;b2c
7396701114;Matheus;b2c
7396701114;Matheus;b2c
7396701114;Matheus;b2c
7405862735;Fernando;b2c
7405862735;Fernando;b2c
7405862735;Fernando;b2c
7405862735;Fernando;b2c
7405862735;Fernando;b2c
7405862735;Fernando;b2c
7405862735;Fernando;b2c
7405862735;Fernando;b2c
7405862735;Fernando;b2c
7405862735;Fernando;b2c
7405862735;Fernando;b2c
7405862735;Fernando;b2c
7405862735;Fernando;b2c
7405862735;Fernando;b2c
7405862735;Fernando;b2c
7117659441;Fábio;b2c
7117659441;Fábio;b2c
7117659441;Fábio;b2c
7390972032;Ricardo;b2c
7393267563;Guilherme;b2c
7393267563;Guilherme;b2c
7393267563;Guilherme;b2c
7393267563;Guilherme;b2c
7393267563;Guilherme;b2c
7393267563;Guilherme;b2c
7397222047;Danilo;b2c
7397222047;Danilo;b2c
7397222047;Danilo;b2c
7397222047;Danilo;b2c
7398784074;Enison;b2c
7399016999;Joao;b2c
7399016999;Joao;b2c
7399016999;Joao;b2c
7399016999;Joao;b2c
7399016999;Joao;b2c
7399016999;Joao;b2c
7399016999;Joao;b2c
7399016999;Joao;b2c
7399016999;Joao;b2c
7399016999;Joao;b2c
7399595696;Edson;b2c
7399684154;marcelo;b2c
7399897961;Victor;b2c
7399897961;Victor;b2c
7399897961;Victor;b2c
7399897961;Victor;b2c
7399897961;Victor;b2c
7399897961;Victor;b2c
7399897961;Victor;b2c
7399897961;Victor;b2c
7399897961;Victor;b2c
7399897961;Victor;b2c
7399897961;Victor;b2c
7399897961;Victor;b2c
7399897961;Victor;b2c
7399911410;Everton;b2c
7399911410;Everton;b2c
7399911410;Everton;b2c
7399911410;Everton;b2c
7399911410;Everton;b2c
7399911410;Everton;b2c
7399911410;Everton;b2c
7399911410;Everton;b2c
7405862772;Sergio;b2c
7405862772;Sergio;b2c
7405862772;Sergio;b2c
7405862772;Sergio;b2c
7405862772;Sergio;b2c
7405862772;Sergio;b2c
7405862772;Sergio;b2c
7405862772;Sergio;b2c
7405862772;Sergio;b2c
7405862772;Sergio;b2c
7405862772;Sergio;b2c
7405862772;Sergio;b2c
7405862799;Renan;b2c
7405862799;Renan;b2c
7405862841;Gabriel;b2c
7405862841;Gabriel;b2c
7405862857;Francois;b2c
7405862857;Francois;b2c
7405862857;Francois;b2c
7405862857;Francois;b2c
7405862857;Francois;b2c
7405862857;Francois;b2c
7405862857;Francois;b2c
7405862857;Francois;b2c
7405862857;Francois;b2c
7410800476;Luis;b2c
7413826652;Ivo;b2c
7413826652;Ivo;b2c
7422650600;Mauricio;b2c
7416468988;Alessandro;b2c
7416468988;Alessandro;b2c
7416468988;Alessandro;b2c
7416468988;Alessandro;b2c
7418440961;Endrew;b2c
7418587805;Celso;b2c
7418587805;Celso;b2c
7418587805;Celso;b2c
7418587805;Celso;b2c
7418587805;Celso;b2c
7418587805;Celso;b2c
7418587805;Celso;b2c
7418587805;Celso;b2c
7418587805;Celso;b2c
7418587805;Celso;b2c
7418587805;Celso;b2c
7399943567;Ingo;b2c
7422650634;Hendel;b2c
7422650634;Hendel;b2c
7422650673;Yuri;b2c
7422650673;Yuri;b2c
7422650673;Yuri;b2c
7422650673;Yuri;b2c
7422650673;Yuri;b2c
7422650673;Yuri;b2c
7422650700;Vinicius;b2c
7422650700;Vinicius;b2c
7422650700;Vinicius;b2c
7422650700;Vinicius;b2c
7422650700;Vinicius;b2c
7422650700;Vinicius;b2c
7422650700;Vinicius;b2c
7422650700;Vinicius;b2c
7422650700;Vinicius;b2c
7422650700;Vinicius;b2c
7422650700;Vinicius;b2c
7422650700;Vinicius;b2c
7422650700;Vinicius;b2c
7422650700;Vinicius;b2c
7422650700;Vinicius;b2c
7422650773;Rafael;b2c
7422650773;Rafael;b2c
7422650773;Rafael;b2c
7422650773;Rafael;b2c
7422650773;Rafael;b2c
7422650773;Rafael;b2c
7422650773;Rafael;b2c
7423382917;Sergio;b2c
7439425061;Eric;b2c
7439425061;Eric;b2c
7439425061;Eric;b2c
7439425061;Eric;b2c
7439425061;Eric;b2c
7439425061;Eric;b2c
7398130367;Confederacao;b2b
7424182774;Joao;b2c
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
