id_regiao;nome_estado;nome_regiao
E-007;RJ;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-008;MS;centro-oeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-001;RS;sul
E-019;RN;nordeste
E-019;RN;nordeste
E-019;RN;nordeste
E-019;RN;nordeste
E-019;RN;nordeste
E-019;RN;nordeste
E-019;RN;nordeste
E-019;RN;nordeste
E-019;RN;nordeste
E-019;RN;nordeste
E-004;SP;sudeste
E-001;RS;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-004;SP;sudeste
E-004;SP;sudeste
E-022;AM;norte
E-022;AM;norte
E-022;AM;norte
E-022;AM;norte
E-022;AM;norte
E-022;AM;norte
E-022;AM;norte
E-022;AM;norte
E-022;AM;norte
E-004;SP;sudeste
E-003;PR;sul
E-003;PR;sul
E-004;SP;sudeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-001;RS;sul
E-026;RR;norte
E-026;RR;norte
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-006;ES;sudeste
E-015;MA;nordeste
E-015;MA;nordeste
E-015;MA;nordeste
E-015;MA;nordeste
E-015;MA;nordeste
E-015;MA;nordeste
E-015;MA;nordeste
E-007;RJ;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-002;SC;sul
E-001;RS;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-014;CE;nordeste
E-014;CE;nordeste
E-001;RS;sul
E-008;MS;centro-oeste
E-008;MS;centro-oeste
E-008;MS;centro-oeste
E-008;MS;centro-oeste
E-024;PA;norte
E-024;PA;norte
E-024;PA;norte
E-024;PA;norte
E-004;SP;sudeste
E-002;SC;sul
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-001;RS;sul
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-003;PR;sul
E-003;PR;sul
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-001;RS;sul
E-020;SE;nordeste
E-020;SE;nordeste
E-020;SE;nordeste
E-020;SE;nordeste
E-020;SE;nordeste
E-007;RJ;sudeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-011;DF;centro-oeste
E-004;SP;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-009;MT;centro-oeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-001;RS;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-002;SC;sul
E-001;RS;sul
E-012;AL;nordeste
E-012;AL;nordeste
E-012;AL;nordeste
E-012;AL;nordeste
E-011;DF;centro-oeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-001;RS;sul
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-001;RS;sul
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-002;SC;sul
E-004;SP;sudeste
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-002;SC;sul
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-022;AM;norte
E-022;AM;norte
E-022;AM;norte
E-022;AM;norte
E-001;RS;sul
E-009;MT;centro-oeste
E-003;PR;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-002;SC;sul
E-005;MG;sudeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-011;DF;centro-oeste
E-004;SP;sudeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-004;SP;sudeste
E-004;SP;sudeste
E-003;PR;sul
E-004;SP;sudeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
