id_produto;id_cliente;id_regiao;nr_pedido;data_compra;quantidade;unit_venda
6811365429;6893549261;E-007;410;01/01/2020;2;21,49
6811360057;7257920762;E-004;411;01/01/2020;1;15,49
6811354872;7257920778;E-002;412;01/01/2020;1;15,49
6811361300;7257920796;E-003;413;02/01/2020;1;13,49
6811358769;7257920796;E-003;413;02/01/2020;1;13,49
6811362158;7257920796;E-003;413;02/01/2020;1;13,49
6934874306;7257920796;E-003;413;02/01/2020;1;13,49
6811359526;7257920817;E-004;414;02/01/2020;1;15,49
6811360057;7257920841;E-002;415;03/01/2020;1;15,49
6811359265;7257920841;E-002;415;03/01/2020;1;15,49
6811356887;7257921547;E-018;416;05/01/2020;1;15,49
6811364861;7257921547;E-018;416;05/01/2020;1;19,2
6811356928;7257921547;E-018;416;05/01/2020;1;15,49
6811356166;7257921579;E-004;417;05/01/2020;1;11,49
6811357561;7257921604;E-002;418;05/01/2020;1;13,49
6811361488;7257921604;E-002;418;05/01/2020;1;13,49
6811360315;7257921604;E-002;418;05/01/2020;1;13,49
6811359483;7257921632;E-011;419;05/01/2020;1;13,49
6811364915;7261485430;E-003;425;06/01/2020;1;21,49
6811353967;7261485430;E-003;425;06/01/2020;1;15,49
6811365543;7261485430;E-003;425;06/01/2020;1;15,49
6811364959;7279158528;E-002;442;06/01/2020;1;19,49
6811356928;7279158528;E-002;442;06/01/2020;1;13,49
6811356928;6952903800;E-008;393;07/01/2020;7;12
6811359378;6829183813;E-001;394;07/01/2020;2;15,49
6811364861;6944353722;E-018;395;07/01/2020;10;14
6811358769;7257921645;E-004;420;07/01/2020;1;15,49
6811356778;7257921645;E-004;420;07/01/2020;1;11,49
6811356928;7257921645;E-004;420;07/01/2020;2;15,49
6811360057;7257921645;E-004;420;07/01/2020;2;15,49
6811354912;7258775866;E-007;423;07/01/2020;2;12
6811358467;7258775866;E-007;423;07/01/2020;3;12
7258832589;7258775866;E-007;423;07/01/2020;10;16
6870081056;7258990412;E-003;424;07/01/2020;1;135
6811356928;7319562761;E-004;475;07/01/2020;1;15,49
6811356928;7319562761;E-004;475;07/01/2020;1;15,49
6811356928;7319562761;E-004;475;07/01/2020;1;15,49
6811360076;7262922646;E-001;426;08/01/2020;1;28,5
6811363908;7262922646;E-001;427;08/01/2020;1;15,49
7263301621;7262922646;E-001;427;08/01/2020;1;15,49
6811360011;7263786852;E-001;428;08/01/2020;1;30
6811360011;7263786852;E-001;428;08/01/2020;1;30
6811360057;7269904759;E-004;429;08/01/2020;2;15,49
6811360057;7269904782;E-002;430;08/01/2020;1;15,49
6811361315;7269904782;E-002;430;08/01/2020;1;15,49
6811360057;7269904798;E-004;431;08/01/2020;1;15,49
6811360070;7269904798;E-004;431;08/01/2020;1;15,49
6811361438;7269904820;E-003;432;08/01/2020;1;13,49
6811365517;7269904820;E-003;432;08/01/2020;1;13,49
6811365473;7269904820;E-003;432;08/01/2020;1;13,49
6829205274;7048364988;E-001;433;09/01/2020;10;14
6829205274;7048364988;E-001;433;09/01/2020;10;14
6811362758;7271272529;E-001;434;09/01/2020;1;95,99
6811362758;7271272529;E-001;434;09/01/2020;1;95,99
6882873216;7271272529;E-001;434;09/01/2020;1;14
6882873216;7271272529;E-001;434;09/01/2020;1;14
7271967941;7271272529;E-001;435;09/01/2020;1;95,99
7271967941;7271272529;E-001;435;09/01/2020;1;95,99
6811360057;7271272529;E-001;435;09/01/2020;1;13,49
6882873230;7271272529;E-001;435;09/01/2020;1;13,49
7271967941;7271272529;E-001;436;09/01/2020;1;95,99
7271967941;7271272529;E-001;436;09/01/2020;1;95,99
6882873230;7271272529;E-001;436;09/01/2020;1;13,49
6882873230;7271272529;E-001;436;09/01/2020;1;13,49
7274307421;7274266280;E-003;439;09/01/2020;1;59
7274307421;7274266280;E-003;439;09/01/2020;1;59
6811356705;7158114876;E-001;440;09/01/2020;1;15
7275113722;7275079637;E-004;441;09/01/2020;10;24
6811364924;7279158559;E-004;443;09/01/2020;1;20
6811364915;7279158559;E-004;443;09/01/2020;1;21,49
6811364906;7279158559;E-004;443;09/01/2020;1;21,49
6811357817;7279158559;E-004;443;09/01/2020;1;15,49
6811355867;7279158559;E-004;443;09/01/2020;1;15,49
6811357854;7279158559;E-004;443;09/01/2020;1;15,49
6811360137;7279158559;E-004;443;09/01/2020;1;15,48
6811360057;7279158603;E-001;444;09/01/2020;2;13,49
6811353705;7279158603;E-001;444;09/01/2020;2;13,49
6811356928;7279158603;E-001;444;09/01/2020;1;13,49
6811362736;7301310211;E-012;461;09/01/2020;1;11,49
6811362736;7301310211;E-012;461;09/01/2020;1;11,49
6829205274;7157510171;E-004;446;10/01/2020;10;14
7275113722;7279758088;E-005;447;10/01/2020;10;24
6829205274;7282680518;E-011;450;10/01/2020;10;14
6811356928;7283227679;E-001;451;10/01/2020;1;24,9
6811356928;7283299794;E-001;452;10/01/2020;1;24,9
6811356928;7283299794;E-001;452;10/01/2020;1;24,9
6811353792;7293592145;E-017;455;10/01/2020;2;15,49
6811354600;7293592145;E-017;455;10/01/2020;2;15,49
6811361176;7293592145;E-017;455;10/01/2020;1;15,49
6811356819;7293592183;E-008;456;11/01/2020;2;15,49
6811361300;7293592204;E-019;457;11/01/2020;1;15,49
